,workerid,proliferate.condition,order,paraphrase,rating,response,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error,Sentence,HaveNeedTo,Finite,ModalPresent,QuestionType,DegreeQ,SubjectAuxInv,WhAll,MatrixNegPresent,EmbeddedNegPresent,QuantifiedSubject,QuantifiedPredicate,Wh,MatrixNegation,MatrixDoSupport,MatrixPred1,MatrixPred2,MatVerbPart,Modal,EmbeddedNegation,Verb1,Verb2,Verb3,DeterminerSubject,DeterminerNonSubject,FullWhPhrase,DeterminerSubjPresent,DeterminerNonSubjPresent,WhNode,WhParse,Question,SentenceParse,WhPhaseType,IdentityQ
11,89,01_pilot_e02,all-the-a,a,0,,6,example3,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,89,01_pilot_e02,all-the-a,other,0,,6,example3,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,89,01_pilot_e02,all-the-a,all,0,,7,example4,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,89,01_pilot_e02,all-the-a,the,0.51,,7,example4,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,89,01_pilot_e02,all-the-a,a,0.49,,7,example4,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,89,01_pilot_e02,all-the-a,other,0,,7,example4,[],56,Yes,I hope I did it right. The English language is hard for even us native speakers and there seemed to be many ways to say things on the study.Thanks for the fun,2,2,1,Female,English,Firefox,Windows,900,1440,14.48861667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,78,01_pilot_e02,the-a-all,the,0,,4,example1,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,78,01_pilot_e02,the-a-all,a,0.24,,4,example1,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,78,01_pilot_e02,the-a-all,all,0.76,,4,example1,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,78,01_pilot_e02,the-a-all,other,0,,4,example1,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,78,01_pilot_e02,the-a-all,the,0,,5,example2,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,78,01_pilot_e02,the-a-all,a,0.91,,5,example2,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,78,01_pilot_e02,the-a-all,all,0.09,,5,example2,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,78,01_pilot_e02,the-a-all,other,0,,5,example2,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,78,01_pilot_e02,the-a-all,the,0.66,,6,example3,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,78,01_pilot_e02,the-a-all,a,0,,6,example3,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,78,01_pilot_e02,the-a-all,all,0.34,,6,example3,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,78,01_pilot_e02,the-a-all,other,0,,6,example3,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,78,01_pilot_e02,the-a-all,the,0.88,,7,example4,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,78,01_pilot_e02,the-a-all,a,0.12,,7,example4,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,78,01_pilot_e02,the-a-all,all,0,,7,example4,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,78,01_pilot_e02,the-a-all,other,0,,7,example4,[],21,Yes,,2,1,0,Female,English,Chrome,Mac,800,1280,8.369566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,85,01_pilot_e02,the-all-a,the,0.14,,4,example1,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,85,01_pilot_e02,the-all-a,all,0.65,,4,example1,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,85,01_pilot_e02,the-all-a,a,0.04,,4,example1,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,85,01_pilot_e02,the-all-a,other,0.17,,4,example1,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,85,01_pilot_e02,the-all-a,the,0.13,,5,example2,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,85,01_pilot_e02,the-all-a,all,0.14,,5,example2,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,85,01_pilot_e02,the-all-a,a,0.73,,5,example2,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,85,01_pilot_e02,the-all-a,other,0,,5,example2,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,85,01_pilot_e02,the-all-a,the,0,,6,example3,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,85,01_pilot_e02,the-all-a,all,0.99,,6,example3,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,85,01_pilot_e02,the-all-a,a,0.01,,6,example3,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,85,01_pilot_e02,the-all-a,other,0,,6,example3,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,85,01_pilot_e02,the-all-a,the,0.87,,7,example4,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,85,01_pilot_e02,the-all-a,all,0.13,,7,example4,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,85,01_pilot_e02,the-all-a,a,0,,7,example4,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,85,01_pilot_e02,the-all-a,other,0,,7,example4,[],26,Yes,,3,2,1,Female,English ,Safari,iPhone/iPod,667,375,21.59325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,83,01_pilot_e02,a-the-all,a,0.85,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,83,01_pilot_e02,a-the-all,the,0.11,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,83,01_pilot_e02,a-the-all,all,0,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,83,01_pilot_e02,a-the-all,other,0.04,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,83,01_pilot_e02,a-the-all,a,0.85,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,83,01_pilot_e02,a-the-all,the,0.11,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,83,01_pilot_e02,a-the-all,all,0,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,83,01_pilot_e02,a-the-all,other,0.04,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,83,01_pilot_e02,a-the-all,a,0.85,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,83,01_pilot_e02,a-the-all,the,0.11,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,83,01_pilot_e02,a-the-all,all,0,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,83,01_pilot_e02,a-the-all,other,0.04,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,83,01_pilot_e02,a-the-all,a,0.3,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,83,01_pilot_e02,a-the-all,the,0.11,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,83,01_pilot_e02,a-the-all,all,0.55,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,83,01_pilot_e02,a-the-all,other,0.04,,4,example1,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,83,01_pilot_e02,a-the-all,a,0.43,,5,example2,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,83,01_pilot_e02,a-the-all,the,0,,5,example2,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,83,01_pilot_e02,a-the-all,all,0.57,,5,example2,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,83,01_pilot_e02,a-the-all,other,0,,5,example2,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,83,01_pilot_e02,a-the-all,a,0.43,,5,example2,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,83,01_pilot_e02,a-the-all,the,0.47,,5,example2,[],23,Yes,,2,1,1,Female,English,Safari,iPhone/iPod,896,414,7.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
