TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
149894:39	you, you just have *-1 to wonder what they're thinking *t*-2 in washington.	###speakerb66.###and con-, congress, realizing that they were going *-1 to lose a, the democratic congress realized that they were going *-2 to lose a propaganda war, you know, bye-bye, you know, bye-bye *-4 removing the tax cut further cut the taxes and created, you know, that, that, that, you know, created the huge deficit *ich*-5 that year which *t*-6 moved us into the trillion dollar deficit.###speakera67.###uh-huh.###speakerb68.###speakera69.###right.###speakerb70.###and you just, mumblex.###speakera71.	what	no	yes	what they're thinking *t*-2 in washington	no	you, you just have *-1 to wonder  	.	...what is a thing...	...what is every thing...	...what is the thing...
122661:37	i don't, i don't know what *t*-1 changed that pattern.	###so it's like in the low forties right now.###speakera57.###oh.###speakerb58.###but, uh, it's supposed *-1 to leave early in the week and then be back in the sixties.###we have very windy *ich*-1 winters and very cold.###speakera59.###yeah.###speakerb60.###but we don't get any snow anymore.	what	no	yes	what *t*-1 changed that pattern	no	i don't, i don't know  	.	...what is a thing...	...what is every thing...	...what is the thing...
122799:19	i always thought well, what do you do *t*-1	###speakerb42.###uh-huh.###speakera43.###when we try and picture the universe as an infinite object *t*-2, and it's hard 0 * to, to see *t*-1, you know.###speakerb44.###uh-huh.###speakera45.###speakerb46.###yeah.###speakera47.	what	no	yes	well, what do you do *t*-1	no	i always  hough 	t	...what is a thing...	...what is every thing...	...what is the thing...
75198:46	i certainly wouldn't have been able *-1 to twenty years ago tell you what, uh, my kids were likely *-2 to be like *t*-3.	###it's kind of scary when i think of what *t*-2 will happen in twenty years, you know, when i have kids and they're grown *t*-3 and, uh, just kind of some of the changes that *t*-1 will happen even more *t*-4###so.###speakera101.###and i guess 0 the answer, is, is, * stay flexible because nobody can predict what *t*-1's going *-2 to happen in twenty years.###speakerb102.###* seems like it can't get much worse.###speakera103.###speakerb104.###yeah.###speakera105.	what	no	yes	what, uh, my kids were likely *-2 to be like *t*-3	no	i certainly wouldn't have been able *-1 to twenty years ago tell you  	.	...what is a thing...	...what is every thing...	...what is the thing...
94922:53	and i promise you faithfully, 0 i will watch the instructor every minute and see exactly what *t*-1's happening.	###speakera169.###oh, dear.###speakerb170.###boy,###it *exp*-1 didn't take me very long * to hot foot it over to the school and relay that to them,###speakera171.###yes.###speakerb172.###and she said, well, she said, you know, kids do exaggerate,###but she said, * let's go ahead and send him another day, or two days,	what	no	yes	what *t*-1's happening	no	and i promise you faithfully, 0 i will watch the instructor every minute and see exactly  	.	...what is a thing...	...what is every thing...	...what is the thing...
76687:32	well, you haven't told me, uh, what sports that you are active in *t*-1.	###yeah,### i, i've only talked to one or two###and they've, they've all been in dallas.###but, she hasn't talked to anybody, in dallas, yet.###speakera93.###yeah.###yeah.###speakerb94.###so, that's interesting.###speakera95.	what	no	yes	what sports that you are active in *t*-1	no	well, you haven't told me, uh,  	.	...what is a thing...	...what is every thing...	...what is the thing...
131071:18	and i'm not sure what *t*-1 happened,	###uh-huh.###speakerb84.### i, where i live *t*-1 is a house that *t*-2's seventeen years old when i bought it *t*-3.###speakera85.###speakerb86.###and we bought it from someone who *t*-1 was in it,###but before they had it, i found out after i had been in the house, it, it had sat * empty for the better part of a year.###speakera87.###uh-huh.###speakerb88.	what	no	yes	what *t*-1 happened	no	and i'm not sure  	,	...what is a thing...	...what is every thing...	...what is the thing...
61551:34	they like *-1 to roam and investigate. and see what *t*-2's going on.	###he's got,###i mean, we have two kids, you know, that *t*-1 just love him a lot,###speakerb152.###yeah,###yeah.###speakera153.###you know, it's like we can't understand why he kept *-1 wanting *-1 to get out *t*-2, you know,###we just couldn't *?*,###speakerb154.###well, you know, that, animals are like that.	what	no	yes	what *t*-2's going on	no	they like *-1 to roam and investigate  and see  	.	...what is a thing...	...what is every thing...	...what is the thing...
138605:16	i don't know how, uh, people, uh, that *t*-1 have young kids working work full time and, and do it, really, without *-3 being stressed out all the time *t*-2.	###speakerb58.###yeah,### it, it *exp*-2 is, i think 0 *t*-3, just hard * to leave them because nobody will give them the kind of care 0 their own families will *?* *t*-1.###speakera59.###well, and you know their, kind of their schedules###and you know if they're upset and that type of a deal.###speakerb60.###yeah,###yeah.###speakera61.	how	no	yes	how, uh, people, uh, that *t*-1 have young kids working work full time and, and do it, really, without *-3 being stressed out all the time *t*-2	no	i don't know  	.	...what is a way...	...what is every way...	...what is the way...
95382:33	either just the lucky or the unlucky one, depending on how you look at it *t*-1.	###right.###speakera60.###if,###it's almost like * being selected *-1 for jury duty.###speakerb61.###yeah.###speakera62.###you know, so your name came out of pot when they spun the wheel *t*-1,### that's, that's just the way 0 it is *t*-1.###speakerb63.	how	no	yes	how you look at it *t*-1	no	either just the lucky or the unlucky one, depending on  	.	...what is a way...	...what is every way...	...what is the way...
59470:70	but, uh, i certainly agree that if someone owns a fire arm that have as much responsibility * to know how * do, use it safely *t*-2 as someone learns how * to drive *t*-1, if not more so.	###uh-huh.###well, we can could be,###speakerb46.###i said 0 the restrictions 0 i would like *-1 to see *t*-2 on, for anybody, whether it being for handgun, a rifle, a shotgun,###i would like *-1 to see them go through either,###i'd like *-1 to see a law enforcement agency, not n r a,###but whether it be the, your state police or your county police for you to be able purchase a handgun. you got *-1 to go through their course and get certified *-2 that you know how * to properly handle the weapon *t*-1, how * to safely handle the weapon *t*-3, how * to properly maintain it *t*-4, the three basics.###speakera47.###well, that makes a lot of since to me.###i mean, i certainly feel that if, if, we may disagree on when someone should own a fire arm *t*-1	how	no	yes	how * do, use it safely *t*-2	no	but, uh, i certainly agree that if someone owns a fire arm that have as much responsibility * to know  as someone learns how * to drive *t*-1, if not more so 	.	...what is a way...	...what is every way...	...what is the way...
59119:29	well you know, i can't imagine how i did *t*-1, because now i work all the time,	###very few people will ever stay home.###speakerb62.###yeah,### and, and that's all right with me, because i don't want *-1 to stay home###speakera63.###yeah.###speakerb64.###you know, i think 0 i'm just part of tha-, the new stuff, that *t*-1 is just,###i don't know, i think 0 i would just go nuts *-1 sitting at home all day long.###speakera65.	how	no	yes	how i did *t*-1	no	well you know  i can't imagine   because now i work all the time 	,	...what is a way...	...what is every way...	...what is the way...
143709:26	i mean, like you said, how they were, the schools are doing more things for the kids, they thought 0 *t*-2, than they were *?* thirty years ago *t*-1.	###speakera45.###well, utah's a place where you wouldn't think 0 that problem would be very severe *t*-1.###speakerb46.###but a lot of schools had a lot of transient, uh, families and a lot of families who *t*-1 were on the poorer side###and,###speakera47.###yeah,### you, so, you saw a fair number of troubled kids.###speakerb48.###yeah,	how	no	yes	how they were, the schools are doing more things for the kids, they thought 0 *t*-2, than they were *?* thirty years ago *t*-1	no	i mean, like you said,  	.	...what is a way...	...what is every way...	...what is the way...
28491:37	and, um, so they didn't know how it was going *-1 to work *t*-2,	###speakerb46.###if i had a machine already installed * at home i would probably work just about every night.###speakera47.###one of the reasons why i got mine *t*-1, was 0 before i went on maternity leave, they didn't know how they were going *-1 to do without me *t*-2 at work because, i am pretty much the, like you said, the guru, in the office with the different programs and mumblex any trouble shooting that there is *t*-1,###speakerb48.###yeah.###speakera49.###speakerb50.###huh-uh.###speakera51.	how	no	yes	how it was going *-1 to work *t*-2	no	and  um  so they didn't know  	,	...what is a way...	...what is every way...	...what is the way...
61746:16	uh, * remember how they started out *-1 running three, four hundred dollars *t*-2.	###speakera23.###yeah,###well, actually one other thing 0 i might ought *-2 to mention *t*-1 is that they are actually getting quite cheap.###speakerb24.###yes,###definitely,###but just like the computers.###speakera25.###uh-huh.###speakerb26.	how	no	yes	how they started out *-1 running three, four hundred dollars *t*-2	no	uh, * remember  	.	...what is a way...	...what is every way...	...what is the way...
38424:23	half the people don't even know who they're talking to *t*-1.	###oh, my.###speakerb144.### they just, um, they just send me everything and pick it up courier or whatever,###so, you know.###speakera145.###man that sounds really nice.###speakerb146.###yeah.###it is real nice, you know,###i just deal with them on the telephone,	who	no	yes	who they're talking to *t*-1	no	half the people don't even know  	.	...who is a person...	...who is every person...	...who is the person...
19175:16	and i've seen where some places have taken a plastic *t*-3 and, uh, they're recycling them into other plastics. and the styrofoam also into insulation and things like that *t*-3	###i mean, they don't, uh, uh,###speakera115.###they don't mash.###speakerb116.###no.###speakera117.###they don't compress at all.###and they stay forever.###speakerb118.###right.	where	no	yes	where some places have taken a plastic *t*-3 and, uh, they're recycling them into other plastics. and the styrofoam also into insulation and things like that *t*-3	no	a d i've see 	n	...what is a place...	...what is every place...	...what is the place...
112797:88	i can say that i think 0 my, my favorite spots are still * to go, *-1 to go where there's mountains and, and a lot of trees and, and wildlife 0 * to view *t*-2 *t*-3	###uh-huh.###speakera67.###speakerb68.###yeah,###i just, uh,### that, that does absolutely nothing for me.###speakera69.###uh-huh.###speakerb70.###but, uh, i don't know	where	no	yes	where there's mountains and, and a lot of trees and, and wildlife 0 * to view *t*-2 *t*-3	no	i can say that i think 0 my, my fav rite sp ts are still * t  g , *-1 t  g 	o	...what is a place...	...what is every place...	...what is the place...
139764:23	a friend of mine makes it where she goes ahead and seasons up the, with the soup and the wine *t*-1	###speakerb135.###ooh, this is a beneficial call.###i like this.###speakera136.###yeah,###i liked your idea *ich*-1 too, there.###speakerb137.###yeah,###but that one's an easy one.###it's like, * just put in,	where	no	yes	where she goes ahead and seasons up the, with the soup and the wine *t*-1	no	a friend of mine makes i 	t	...what is a place...	...what is every place...	...what is the place...
control_a_tissue	Do you want a tissue?	speakera. Your nose is running. speakerb. Oh yeah I didn't notice. speakera. 	none			Do you want a tissue?				A tissue…?	Every tissue…?	The tissue…?
control_a_napkin	Can I hand you a napkin?	speakera. Oh no! I just spilled my spaghetti down my shirt. speakerb. Oh no.	none			Can I hand you a napkin?				A napkin…?	Every napkin…?	The napkin...?
control_the_book	Did you return the book you borrowed?	speakera. Hey. speakerb. Hey what's up? speakera. I noticed a late fee from the library. 	none			Did you return the book you borrowed?				A book...?	Every book…?	The book...?
control_the_movie	Can you text me the movie schedule?	speakera. What are you doing tonight? speakerb. Nothing what about you? Wanna grab a movie? speakerb. Sure but I don't have wifi right now. 	none			Can you text me the movie schedule?				A movie schedule...?	Every movie schedule…?	The movie schedule...?
control_all_cookies	Did you grab all the cookies?	speakera. It's time to leave for the potluck.The car's almost packed. speakerb. 	none			Did you grab all the cookies?				A cookie...?	Every cookie…?	The cookie...?
control_all_novels	Have you read all her novels?	speakera. I love Octavia Butler she's the best. speakerb. Yeah she's great. speakera.	none			Have you read all her novels?				An novel...?	Every novel…?	The novel...?
