TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	AResponse	AllResponse	TheResponse
16417:9	well, how did you get a recipe for pudding on your own *t*-1?	###speakerb96.###that's really interesting,###i've never heard of anybody making their own pudding before###that's really neat.###speakera97.###well, i used *-1 to make the regular pudding, the chocolate and put it in the pie shell###and if it would sit in the refrigerator for a day, where you cut the pie *t*-1, it would soak into the pie shell###and it was like red,###and i'm like, oh, this is kind of groedy.###speakerb98.	how	no	What is a way...?	What is every way...?	What is the way...?
161919:4	how do you like it down there in texas *t*-1?	###speakera113.###right.###speakerb114.### w-, all 0 we do *t*-1 here is * make transformers electronics and stuff like that.###speakera115.###oh, okay.###speakerb116.###speakera117.###great.###yeah,	how	no	What is a way...?	What is every way...?	What is the way...?
23378:4	who *t*-1 does.	###speakerb94.###uh-huh.###speakera95.###but what do you do *t*-1 with them in the meantime?###speakerb96.###that's right.###speakera97.###now i don't want a can, a garage full of cans.###speakerb98.###that's right,	who	no	Who is a person...?	Who is every person...?	Who is the person...?
157910:20	who's, who's *t*-1 not very well educated?	###right.###speakera77.###good,###good,###i'm glad * to hear that, wendy.###w-,###speakerb78.###that's usually because they're not real educated.###they can't afford *-1 to have a really good job.###speakera79.	who	no	Who is a person...?	Who is every person...?	Who is the person...?
58061:4	who *t*-1 knows.	###no,###there was no feeling of accomplishment, no goal,###no,###speakerb74.###no.###speakera75.###we went in###but what did we do *t*-1.###we lost lives### and, and what were we trying *-1 to do *t*-2.	who	no	Who is a person...?	Who is every person...?	Who is the person...?
174259:54	who *t*-1's *-2 to say.	###about the only good thing 0 i would say *t*-1 about that is 0 it w-, that it would, uh, hurry the process up a bit###speakera27.###yeah.###speakerb28.###but i mean even now we've got, i know 0 we've got plenty of cases out there where people have been wrongly convicted *-1 and things like that *t*-2###and that's what the trial by jury.###speakera29.###i know mumblex.###speakerb30.###i mean, jeez if, if the judge was doing it himself, without any checks and balances 	who	no	Who is a person...?	Who is every person...?	Who is the person...?
74464:6	so where do you live at *t*-1,	###speakera11.###it's big enough for us, though.###speakerb12.###uh-huh.###speakera13.###we kind of need maybe one more room.###we've got two children.###speakerb14.###uh-huh,###okay.	where	no	What is a place...?	What is every place...?	What is the place...?
113858:6	so where did your parents come from *t*-1?	###speakera10.###so i'm, from immigrant parents. or an immigrant mother anyway.###speakerb11.###uh, where did you come from *t*-1?###speakera12.###speakerb13.###okay.###speakera14.###speakerb15.###okay,	where	no	What is a place...?	What is every place...?	What is the place...?
43249:4	where do you all live *t*-1?	###i've got, the,###this is the neat thing about the place 0 we ended up at *t*-2.###*-1 sitting on about a two acre lot now,###speakera59.###uh-huh.###speakerb60.###and half of it's, the back half is my garden.###speakera61.###oh, are you kidding?###that sounds fun.	where	no	What is a place...?	What is every place...?	What is the place...?
39618:4	where did you get,	###and everybody loves it###and it's so easy,###and it's delicious.###speakerb166.###that's what i was just thinking *t*-1,###it doesn't sound like it, it would be hard at all.###speakera167.###huh-uh,###it isn't *?*.###speakerb168.	where	no	What is a place...?	What is every place...?	What is the place...?
58840:4	where are you calling from *t*-1 by the way,	### that's, that's got *-2 to kill anything i guess 0 *t*-1,###but.###speakerb137.###okay,###well, i'll talk to you later.###speakera138.###all right,###well, yeah###thanks.###speakerb139.	where	no	What is a place...?	What is every place...?	What is the place...?
37293:4	where do you think 0 this is going *t*-1 in the future,	###yeah.###speakerb68.### but, uh, but it, it's worked out for, for my family,###* to have my cake and eat it too, kind of thing.###speakera69.###yeah.###speakerb70.###speakera71.###yeah,###that's a good deal.	where	no	What is a place...?	What is every place...?	What is the place...?
109109:4	where do you live *t*-1?	###i don't know,###i have one woman, one mother that i know 0 *t*-1 is home,###but she also has ten children.###speakera37.### what, what grade do you teach *t*-1?###speakerb38.###six, seven and eight.###speakera39.###six, seven and eight.###i've got a chi-, uh,	where	no	What is a place...?	What is every place...?	What is the place...?
148861:4	where do you buy your tole painting paints at *t*-1 around here?	###speakera99.###uh-huh.###speakerb100.###so i think 0 you'll enjoy *-1 doing it.###speakera101.###yeah.###speakerb102.###it's fun.###speakera103.###* sounds fun.	where	no	What is a place...?	What is every place...?	What is the place...?
103015:4	where do you live *t*-1?	###okay.###um,###speakerb2.###where do you live *t*-1?###speakera3.###in plano.###speakerb4.###in plano?###speakera5.###yes.	where	no	What is a place...?	What is every place...?	What is the place...?
154323:4	where does it go *t*-1?	###speakerb42.###yeah###speakera43.### and and i am sure 0 you felt the the same frustration before you got on a budget,###but you're wondering my, when you put down all the money that you do bring *t*-1 in *t*-2###and then you're saying, my word where did all that money go *t*-1.###speakerb44.###that's a lot of money,###but,###speakera45.	where	no	What is a place...?	What is every place...?	What is the place...?
control_a_tissue	Do you want a tissue?	speakera. Your nose is running. speakerb. Oh yeah I didn't notice. speakera. 	none	no	A tissue…?	Every tissue…?	The tissue…?
control_a_napkin	Can I hand you a napkin?	speakera. Oh no! I just spilled my spaghetti down my shirt. speakerb. Oh no.	none	no	A napkin…?	Every napkin…?	The napkin...?
control_the_book	Did you return the book you borrowed?	speakera. Hey. speakerb. Hey what's up? speakera. I noticed a late fee from the library. 	none	no	A book...?	Every book…?	The book...?
control_the_movie	Can you text me the movie schedule?	speakera. What are you doing tonight? speakerb. Nothing what about you? Wanna grab a movie? speakerb. Sure but I don't have wifi right now. 	none	no	A movie schedule...?	Every movie schedule…?	The movie schedule...?
control_all_cookies	Did you grab all the cookies?	speakera. It's time to leave for the potluck.The car's almost packed. speakerb. 	none	no	A cookie...?	Every cookie…?	The cookie...?
control_all_novels	Have you read all her novels?	speakera. I love Octavia Butler she's the best. speakerb. Yeah she's great. speakera.	none	no	An novel...?	Every novel…?	The novel...?
